Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
false,Columbia Running,Running,--,"Mon, Dec 7, 2015 4:05 PM",53:43,8.01,176,6:43,5:19,--,--,877,--,--,--,--,--,--,
false,Columbia Running,Running,--,"Sun, Dec 6, 2015 3:33 PM",41:31,6.01,187,6:55,5:26,--,--,654,--,--,--,--,--,--,
false,Columbia Running,Running,--,"Sat, Dec 5, 2015 2:13 PM",1:06:49,10.00,352,6:41,5:04,--,--,"1,087",--,--,--,--,--,--,
false,Columbia Running,Running,--,"Fri, Dec 4, 2015 4:08 PM",40:04,6.00,159,6:41,5:56,--,--,657,--,--,--,--,--,--,
false,Columbia Running,Running,--,"Thu, Dec 3, 2015 4:04 PM",53:12,8.01,145,6:39,4:57,--,--,874,--,--,--,--,--,--,
false,Columbia Running,Running,--,"Wed, Dec 2, 2015 4:05 PM",38:00,5.55,151,6:51,5:38,--,--,607,--,--,--,--,--,--,
false,Columbia Running,Running,--,"Tue, Dec 1, 2015 4:03 PM",53:52,8.01,237,6:44,4:55,--,--,877,--,--,--,--,--,--,
false,Columbia Running,Running,--,"Mon, Nov 30, 2015 4:04 PM",40:12,6.01,199,6:42,5:32,--,--,652,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Sat, Nov 28, 2015 11:14 AM",55:10,8.01,151,6:53,1:30,--,--,858,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Fri, Nov 27, 2015 9:56 AM",32:01,4.50,92,7:07,3:44,--,--,496,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Thu, Nov 26, 2015 9:21 AM",16:36,2.83,42,5:52,3:58,--,--,301,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Thu, Nov 26, 2015 8:50 AM",7:53,1.13,13,6:58,6:04,--,--,123,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Wed, Nov 25, 2015 10:25 AM",19:59,3.00,66,6:39,2:48,--,--,330,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Wed, Nov 25, 2015 9:49 AM",28:42,4.00,76,7:10,2:26,--,--,436,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Tue, Nov 24, 2015 10:39 AM",34:25,5.00,131,6:53,5:10,--,--,544,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Tue, Nov 24, 2015 10:11 AM",21:50,3.01,14,7:16,3:52,--,--,333,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Mon, Nov 23, 2015 11:05 AM",15:23,2.28,25,6:44,5:51,--,--,244,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Mon, Nov 23, 2015 10:27 AM",29:51,4.00,71,7:27,5:08,--,--,438,--,--,--,--,--,--,
false,Bloomington Running,Running,--,"Sun, Nov 22, 2015 2:10 PM",27:01,3.77,16,7:11,2:41,--,--,413,--,--,--,--,--,--,
